url,source,is_keeper,repo,owner,org
https://github.com/BuzzFeedNews/2017-08-partisan-sites-and-facebook-pages,github,True,2017-08-partisan-sites-and-facebook-pages,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-08-spy-plane-finder,github,True,2017-08-spy-plane-finder,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-07-doj-gs-15,github,True,2017-07-doj-gs-15,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-05-us-health-care,github,True,2017-05-us-health-care,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-04-fake-news-ad-trackers,github,True,2017-04-fake-news-ad-trackers,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-01-immigration-and-science,github,True,2017-01-immigration-and-science,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-01-media-platform-and-news-trust-survey,github,True,2017-01-media-platform-and-news-trust-survey,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2017-01-causes-of-warming,github,True,2017-01-causes-of-warming,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-transgender-rights-survey,github,True,2016-12-transgender-rights-survey,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-warmest-year,github,True,2016-12-warmest-year,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-medicare-claims-analysis,github,True,2016-12-medicare-claims-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-inpatient-discharge-analysis,github,True,2016-12-inpatient-discharge-analysis,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-river-point-involuntary-commitment-petitions,github,True,2016-12-river-point-involuntary-commitment-petitions,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-12-fake-news-survey,github,True,2016-12-fake-news-survey,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-11-grading-the-election-forecasts,github,True,2016-11-grading-the-election-forecasts,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-11-voter-power-by-demographic,github,True,2016-11-voter-power-by-demographic,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-11-bellwether-counties,github,True,2016-11-bellwether-counties,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-10-tech-campaign-contributions,github,True,2016-10-tech-campaign-contributions,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-10-facebook-fact-check,github,True,2016-10-facebook-fact-check,BuzzFeedNews,BuzzFeed News
https://github.com/BuzzFeedNews/2016-10-white-ancestry-and-trump-support,github,True,2016-10-white-ancestry-and-trump-support,BuzzFeedNews,BuzzFeed News
